threads,run,packets_analyzed,alerts
1,1,3279365,4362675
1,2,3837624,5107163
1,3,3283331,4368149
1,4,3328141,4426445
1,5,3348222,4454199
1,6,3291795,4380290
1,7,3284299,4370690
1,8,3284014,4367644
1,9,3313281,4408822
1,10,3306042,4396787
2,1,6062136,8074587
2,2,6150361,8192313
2,3,6043871,8048919
2,4,6181504,8232766
2,5,6087039,8106902
2,6,5976204,7959315
2,7,6002615,7994722
2,8,6053791,8061826
2,9,6011345,8005865
2,10,6097361,8119835
3,1,9060338,12071777
3,2,8803766,11728405
3,3,8854105,11795592
3,4,8949903,11923951
3,5,8905719,11865333
3,6,8815729,11743990
3,7,8931018,11898711
3,8,8959030,11935584
3,9,8920407,11884699
3,10,8825555,11757107
4,1,11744650,15649753
4,2,11658981,15535303
4,3,11674771,15556058
4,4,11800359,15723335
4,5,11655602,15531162
4,6,11737957,15640785
4,7,11581382,15432242
4,8,11747529,15652603
4,9,11542107,15379108
4,10,11802598,15727152
5,1,13824489,18421962
5,2,13831397,18431767
5,3,13845832,18450971
5,4,13762507,18339806
5,5,13790311,18376896
5,6,13859030,18467989
5,7,13834922,18436356
5,8,13783492,18367450
5,9,13848604,18454783
5,10,13900287,18523565
6,1,14598766,19455064
6,2,14643413,19514522
6,3,14632821,19500449
6,4,14643400,19514524
6,5,14630623,19497477
6,6,14643396,19514524
6,7,14639933,19509945
6,8,14643394,19514524
6,9,14641239,19511640
6,10,14620448,19483952
7,1,14602438,19459906
7,2,14591158,19444849
7,3,14615783,19477699
7,4,14594408,19449180
7,5,14642966,19513938
7,6,14643392,19514524
7,7,14586374,19438524
7,8,14604857,19463078
7,9,14603902,19461895
7,10,14619653,19482864
8,1,14643403,19514524
8,2,14643380,19514524
8,3,14643384,19514524
8,4,14643386,19514524
8,5,14643384,19514524
8,6,14643403,19514524
8,7,14643368,19514524
8,8,14643380,19514524
8,9,14643412,19514524
8,10,14643376,19514524
9,1,14643416,19514524
9,2,14643380,19514524
9,3,14643394,19514524
9,4,14643368,19514524
9,5,14643386,19514524
9,6,14643408,19514524
9,7,14643360,19514524
9,8,14643396,19514524
9,9,14643402,19514524
9,10,14643386,19514524
10,1,14643412,19514524
10,2,14643360,19514524
10,3,14643426,19514524
10,4,14643360,19514524
10,5,14643400,19514524
10,6,14643408,19514524
10,7,14643360,19514524
10,8,14643396,19514524
10,9,14643370,19514524
10,10,14643390,19514524
11,1,14643404,19514524
11,2,14643352,19514524
11,3,14643422,19514524
11,4,14643360,19514524
11,5,14643402,19514524
11,6,14643424,19514524
11,7,14643366,19514524
11,8,14643402,19514524
11,9,14643344,19514524
11,10,14643424,19514524
12,1,14643379,19514524
12,2,14643380,19514524
12,3,14643402,19514524
12,4,14643360,19514524
12,5,14643390,19514524
12,6,14643394,19514524
12,7,14643390,19514524
12,8,14643397,19514524
12,9,14643350,19514524
12,10,14643418,19514524
13,1,14643374,19514524
13,2,14643392,19514524
13,3,14643396,19514524
13,4,14643364,19514524
13,5,14643404,19514524
13,6,14643390,19514524
13,7,14643400,19514524
13,8,14643398,19514524
13,9,14643346,19514524
13,10,14643430,19514524
14,1,14643376,19514524
14,2,14643400,19514524
14,3,14643390,19514524
14,4,14643386,19514524
14,5,14643394,19514524
14,6,14643388,19514524
14,7,14643408,19514524
14,8,14643398,19514524
14,9,14643348,19514524
14,10,14643420,19514524
15,1,14643360,19514524
15,2,14643400,19514524
15,3,14643388,19514524
15,4,14643390,19514524
15,5,14643388,19514524
15,6,14643370,19514524
15,7,14643416,19514524
15,8,14643397,19514524
15,9,14643378,19514524
15,10,14643398,19514524
16,1,14643384,19514524
16,2,14643402,19514524
16,3,14643396,19514477
16,4,14643388,19514524
16,5,14643406,19514524
16,6,14643344,19514524
16,7,14643400,19514524
16,8,14643406,19514524
16,9,14643379,19514524
16,10,14643392,19514524
